HARINA DELI,"0,855","0,97"
HARINA PAN,"0,87","1,07"
HARINA EXTRA SUAVE,"0,66","0,97"
HARINA AMARILLA,"0,625","0,74"
PASTA PRIMOR,"1,61",
PASTA PRIMOR DE 1/2,"0,85",
PASTA SAVANA ,"0,82","1,1"
PASTA ROJA,"0,773","0,9"
PASTA LAYLA,,"0,89"
ARROZ SAVANA,"0,98","1,09"
ARROZ CORIMA,"0,62","0,77"
ARROZ CLASICO,"0,88","1,1"
ARROS MARY,"0,72","0,843"
SARDINA MARBORITA,"0,48","0,66"
SARDINA MORRON,"0,49","0,66"
SARDINA MARGARITA,"1,01","1,11"
ARRO,,
MANTEQUILLA MAVESA 500GRS,"1,4","1,6"
MANTEQUILLA MAVESA 250 GRMS,"0,7","0,86"
MANTEQUILLA PRIMOR GRANDE,"1,2","1,36"
MANTEQUILLA PRIMOR PEQUEÑA,"0,63","0,75"
MANTEQUILLA NELLY 227GR,"0,35","0,6"
MANTEQUILLLA NELLY 454 GR,"0,69","0,9"
MAYONESA  500GRMS,"1,4","1,75"
MAYONESA DE 175 GRMOS,"0,66","0,81"
ACEITE MAZEITE LITRO,"1,56","2,15"
ACEITE MAZEITE PEQUEÑO,,
ACEITE COAMO BELLISIMO,"1,46",2
ACEITE OLEINA,"1,48",2
VINAGRE GRANDE,,
AVENA GRANDE,"1,3","4,33"
AVENA PEQUEÑA WAQUER400GR,"0,99","1,4"
AVENA PEQUEÑA 200 GRAM,"0,5","0,7"
HARINA TRIGO DOÑA MARIA,"1,021","1,3"
HARINA TRIGO FINA,"1,009","1,2"
SALSA INGLESA,"0,45","0,88"
SALSA DE AJO,"0,45","0,88"
SALSA SOYA,"0,45","0,88"
VAINILLA PEQUEÑA,"1,122","0,88"
VAINILLA GRANE,,
MAIZENA GRANDE,,
MAIZENA MEDIANA,,
MAIZENA PEQUEÑA,,"0,37"
PAPEL HIGIENICO LOTIS,,"0,3"
SAL,"0,27","0,359"
AZUCAR,"0,69","0,75"
CAFE FAMA DE AMERICA,"4,4","5,67"
CARAOTA,,
LENTEJAS,,"2,01"
ARBEJAS,,"2,01"
GALLETAS MARIA,"0,089","0,14"
GALLETAS SODA,"0,076","0,13"
LECHE MEDIO KILO,"2,34","2,26"
SOBRE CHAMPOO HEAD SHOULDER,"0,25","0,36"
SOBRE CHAMPOO PANTENE,"0,25","0,36"
SOBRE DESODORANTE BALANCE,"0,16","0,36"
SOBRE DESODORANTE LADY SPITY,,
JABON BAÑO ANITA,"0,23","0,406"
JABON BAÑO FRUTAS,"0,25","0,43"
JABON BAÑO REXONA,,
CEPILLO DENTAL,"0,22","0,42"
CREMA DENTAL ALIDENT,"0,559","0,75"
CREMA DENTAL MARKSIN 50GR,"0,25","0,36"
CREMA DENTAL MARKSIN DE 90GR,"0,443","0,607"
TOALLAS SANITARIA ALWAYS,"0,51","0,69"
TALLA SANITARIA ,,
BOMBILLO,"0,24","0,33"
BOMBILLO ROJO,,"0,33"
BOMBILLO DE 200W,,
LECHE CONDENSADA LATA,"1,89",2
LECHE CONDENSADA CARTON ,"1,52","1,8"
LECHE CONDENSADA CARTON PE,,
SELVILLETAS,,
TABACOS,"0,124","0,18"
VELAS MEDIANAS ,"0,077","0,13"
CIGARROS CONSUL,"1,9","2,3"
CIGARROS UNIVERSAL,"1,3","1,7"
CIGARROS MALIBU,"0,79","1,12"
CIGARROS MILKER,"1,4","1,5"
CIGARROS BELMOT,,
CIGARROS,,
CUBITO,"0,11","0,16"
SOPA MAYI,"0,7",1
FOSFORO PEQUEÑO,"0,07","0,11"
FOSFORO GRANDE,,
PLAGATOX ,,
YESQUEROS,"0,108","0,18"
HUEVOS,3,"3,5"
CARPETA ,,
PLATOS  P-8,,
AMARIILA CARTA,,"0,2"
PEINES PEQUEÑOS,,
RECOLECTOR ORINA,"0,14","0,4"
RECOLECTOR HECES,"0,14","0,35"
SACAPUNTAS DE METAL,"0,25","0,4"
PASTILLA ACETAMINOFEN,,"0,1"
PASTILLA IBUPROFENO,"0,14","0,18"
PASTILLA ANTIBIOTICO AMPICILINA,"0,16","0,22"
PASTILLA ,,
PASTILLA,,
PASTILLA,,
HOJILLA,,"0,15"
GALLETAS VIT,"0,19","0,23"
PAÑAL GRANDE,"0,14","0,18"
GALLETAS DANNY,"0,06","0,09"
TOALLAS  PROTECTORAS,,
GALLETAS INDEPENENCIA,"0,4","0,5"
VASOS 147,,
VASOS 167,,
ACETONA,,
VIKI-VIKI,,
CHIMO TORO BRAVO,"0,209","0,24"
CHIMO TORO MANSO,"0,19","0,24"
SALSA MEDIANA,"0,8","0,97"
SALSA PEQUEÑA,"0,48","0,67"
JABON PANELA LLAVES AZUL,,
,,
JABON PANELA BEBE,,
JABON PANELA LLAVES PEQUEÑO BEBE,,
JABON PANELA LLAVES FRESCA FRAGANCIA,,
JABON PANELA ROMBO,"0,53","0,66"
JABON PANELA ESPECIAL,"0,5","0,69"
JABON PANELA KEAM,"0,34","0,43"
JABON POLVO LLAVES KILO,"2,138","2,47"
JABON POLVO LLAVES  400,"0,91","1,23"
JABON POLVO ALIVE GRANDE,"1,105","1,3"
JABON POLVO ALIVE PEQUEÑO,"0,58","0,8"
JABON POLVO MANTAN,,
JABON POLVO LONKEY,,
JABON LIQUIDO LLAVES BEBE,,
JABON LIQUIDO LLAVES BEBE,,
JABON MAREA CRISTALINA,"1,51","1,71"
SUAVIZANTE LLAVES,,
LAVAPLATOS LLAVES CREMA GRA,,
LAVAPLATOS LLAVES CREMA PEQU,"0,94","1,11"
CLORO,"0,274","0,38"
DESINFECTANTE,60,"0,65"
DESENGRASANTE,"0,433","0,65"
JABON LIQUIDO ARIEL,"0,41","0,65"
LAVAPLATOS ,"0,42","0,65"
CERA,"0,433","0,65"
CLORO,"0,3","0,47"
COTUFA,"0,74",
TINTE CHINO,,"0,51"
DESODORANTE BALANCE POTE,"0,84","1,3"
DESODORANTE LADY SPITY,"0,84","1,3"
SUAVITEL SOBRE,"0,94","1,15"
REFRESCO LITRON,"0,76","0,98"
REFRESCO BOTELLA,"0,27","0,36"
REFRESCO GLU,1,"1,23"
REFRSCO SABOR,,
MALTA LITRON,,
MALTA BOTELLA,"0,25","0,31"
PEGA LOKA,"0,23","0,36"
PEGA BLANCA,"0,55","0,77"
SILICON LIQUIDO,"0,374","0,55"
SILICON BARRA,,
PEPITO  ORIGINAL,"0,23","0,31"
CHESTRIS,"0,27","0,35"
ISOPOS,"0,25","0,4"
PAPAS,"0,39","0,65"
CEBOLLA,"0,779","1,15"
TOMATE,"0,779","1,15"
AJI DULCE,"0,32","1,15"
CEBOLLIN,"0,779","1,15"
CHUPETAS CHICLE,"0,084","0,16"
MAXICOCO,"0,4","0,52"
NUTRIBEL,"0,42","0,64"
JABON ESPECIAL,"0,5","0,68"
SALCHICHON,2,
HOME ROON SAMBA,"0,33","0,49"
WAFER,"0,13",
LOKIÑO,"0,04",
CHICLE ACIDO,,
HALLS,"0,05",
CARAMELO MENTA,"0,03",
PRESTOBARBA,"0,34","0,5"
CREMA DE ARROZ PRIMOR,"0,73","0,88"
KONGA,"0,23","0,3"
GALLETAS MUUUUU,"0,21","0,28"
CHICLE FRESA,"0,05","0,08"
